"which_localization"	"ensembl_gene_id_version"	"percentage_gene_gc_content"	"gene_biotype"	"tmhmm"
"1"	"nucleus"	"ENSG00000000003.14"	NA	NA	NA
"2"	"cytosol"	"ENSG00000000005.5"	NA	NA	NA
"3"	"nucleus"	"ENSG00000000419.12"	39.85	"protein_coding"	""
"4"	"nucleus"	"ENSG00000000457.13"	NA	NA	NA
"5"	"nucleus"	"ENSG00000000460.16"	NA	NA	NA
"6"	"cytosol"	"ENSG00000000938.12"	NA	NA	NA
"7"	"cytosol"	"ENSG00000000971.15"	NA	NA	NA
"8"	"nucleus"	"ENSG00000001036.13"	NA	NA	NA
"9"	"nucleus"	"ENSG00000001084.10"	NA	NA	NA
"10"	"nucleus"	"ENSG00000001167.14"	40	"protein_coding"	""
"11"	"nucleus"	"ENSG00000001460.17"	NA	NA	NA
"12"	"nucleus"	"ENSG00000001461.16"	NA	NA	NA
"13"	"nucleus"	"ENSG00000001497.16"	50.45	"protein_coding"	""
"14"	"non-localized"	"ENSG00000001561.6"	NA	NA	NA
"15"	"nucleus"	"ENSG00000001617.11"	NA	NA	NA
"16"	"cytosol"	"ENSG00000001626.14"	NA	NA	NA
"17"	"cytosol"	"ENSG00000001629.9"	NA	NA	NA
"18"	"nucleus"	"ENSG00000001630.15"	NA	NA	NA
"19"	"nucleus"	"ENSG00000001631.15"	36.48	"protein_coding"	""
"20"	"cytosol"	"ENSG00000002016.17"	NA	NA	NA
"21"	"cytosol"	"ENSG00000002079.14"	NA	NA	NA
"22"	"nucleus"	"ENSG00000002330.13"	53.92	"protein_coding"	""
"23"	"nucleus"	"ENSG00000002549.12"	44.17	"protein_coding"	""
"24"	"nucleus"	"ENSG00000002586.18"	NA	NA	NA
"25"	"non-localized"	"ENSG00000002587.9"	NA	NA	NA
"26"	"nucleus"	"ENSG00000002726.20"	47.8	"protein_coding"	""
"27"	"non-localized"	"ENSG00000002745.12"	NA	NA	NA
"28"	"cytosol"	"ENSG00000002746.14"	NA	NA	NA
"29"	"nucleus"	"ENSG00000002822.15"	55.65	"protein_coding"	""
"30"	"nucleus"	"ENSG00000002834.17"	NA	NA	NA
"31"	"nucleus"	"ENSG00000002919.14"	48	"protein_coding"	""
"32"	"cytosol"	"ENSG00000002933.7"	NA	NA	NA
"33"	"nucleus"	"ENSG00000003056.7"	NA	NA	NA
"34"	"nucleus"	"ENSG00000003096.14"	36.56	"protein_coding"	""
"35"	"nucleus"	"ENSG00000003137.8"	59.96	"protein_coding"	""
"36"	"nucleus"	"ENSG00000003137.8"	59.96	"protein_coding"	"TMhelix"
"37"	"nucleus"	"ENSG00000003147.17"	NA	NA	NA
"38"	"nucleus"	"ENSG00000003249.13"	NA	NA	NA
"39"	"nucleus"	"ENSG00000003393.14"	NA	NA	NA
"40"	"nucleus"	"ENSG00000003400.14"	NA	NA	NA
"41"	"nucleus"	"ENSG00000003402.19"	NA	NA	NA
"42"	"nucleus"	"ENSG00000003436.15"	NA	NA	NA
"43"	"cytosol"	"ENSG00000003509.15"	NA	NA	NA
"44"	"cytosol"	"ENSG00000003756.16"	NA	NA	NA
"45"	"cytosol"	"ENSG00000003987.13"	NA	NA	NA
"46"	"nucleus"	"ENSG00000003989.17"	NA	NA	NA
"47"	"nucleus"	"ENSG00000004059.10"	NA	NA	NA
"48"	"cytosol"	"ENSG00000004139.13"	NA	NA	NA
"49"	"nucleus"	"ENSG00000004142.11"	NA	NA	NA
"50"	"cytosol"	"ENSG00000004399.12"	58.39	"protein_coding"	"TMhelix"
"51"	"cytosol"	"ENSG00000004399.12"	58.39	"protein_coding"	""
"52"	"nucleus"	"ENSG00000004455.16"	NA	NA	NA
"53"	"nucleus"	"ENSG00000004468.12"	NA	NA	NA
"54"	"nucleus"	"ENSG00000004478.7"	NA	NA	NA
"55"	"nucleus"	"ENSG00000004487.15"	NA	NA	NA
"56"	"cytosol"	"ENSG00000004534.14"	NA	NA	NA
"57"	"cytosol"	"ENSG00000004660.14"	NA	NA	NA
"58"	"nucleus"	"ENSG00000004700.15"	NA	NA	NA
"59"	"cytosol"	"ENSG00000004766.15"	NA	NA	NA
"60"	"cytosol"	"ENSG00000004776.12"	NA	NA	NA
"61"	"cytosol"	"ENSG00000004777.18"	60.93	"protein_coding"	""
"62"	"nucleus"	"ENSG00000004779.9"	NA	NA	NA
"63"	"cytosol"	"ENSG00000004799.7"	NA	NA	NA
"64"	"non-localized"	"ENSG00000004809.13"	NA	NA	NA
"65"	"cytosol"	"ENSG00000004838.13"	NA	NA	NA
"66"	"non-localized"	"ENSG00000004846.16"	37.73	"protein_coding"	"TMhelix"
"67"	"non-localized"	"ENSG00000004846.16"	37.73	"protein_coding"	""
"68"	"nucleus"	"ENSG00000004848.7"	NA	NA	NA
"69"	"nucleus"	"ENSG00000004864.13"	NA	NA	NA
"70"	"nucleus"	"ENSG00000004866.20"	39.15	"protein_coding"	"TMhelix"
"71"	"nucleus"	"ENSG00000004866.20"	39.15	"protein_coding"	""
"72"	"nucleus"	"ENSG00000004897.11"	NA	NA	NA
"73"	"nucleus"	"ENSG00000004939.13"	NA	NA	NA
"74"	"nucleus"	"ENSG00000004948.13"	NA	NA	NA
"75"	"nucleus"	"ENSG00000004961.14"	NA	NA	NA
"76"	"cytosol"	"ENSG00000004975.11"	NA	NA	NA
"77"	"cytosol"	"ENSG00000005001.9"	NA	NA	NA
"78"	"cytosol"	"ENSG00000005007.12"	NA	NA	NA
"79"	"nucleus"	"ENSG00000005020.12"	NA	NA	NA
"80"	"nucleus"	"ENSG00000005022.5"	NA	NA	NA
"81"	"nucleus"	"ENSG00000005059.15"	NA	NA	NA
"82"	"non-localized"	"ENSG00000005073.5"	NA	NA	NA
"83"	"nucleus"	"ENSG00000005075.15"	55.04	"protein_coding"	""
"84"	"nucleus"	"ENSG00000005100.12"	NA	NA	NA
"85"	"non-localized"	"ENSG00000005102.12"	NA	NA	NA
"86"	"non-localized"	"ENSG00000005108.15"	NA	NA	NA
"87"	"nucleus"	"ENSG00000005156.11"	NA	NA	NA
"88"	"nucleus"	"ENSG00000005175.9"	NA	NA	NA
"89"	"nucleus"	"ENSG00000005187.11"	NA	NA	NA
"90"	"cytosol"	"ENSG00000005189.19"	39.89	"protein_coding"	""
"91"	"nucleus"	"ENSG00000005194.14"	NA	NA	NA
"92"	"cytosol"	"ENSG00000005206.16"	NA	NA	NA
"93"	"cytosol"	"ENSG00000005238.19"	54.68	"protein_coding"	""
"94"	"cytosol"	"ENSG00000005243.9"	NA	NA	NA
"95"	"nucleus"	"ENSG00000005249.12"	NA	NA	NA
"96"	"cytosol"	"ENSG00000005302.17"	NA	NA	NA
"97"	"cytosol"	"ENSG00000005339.14"	NA	NA	NA
"98"	"cytosol"	"ENSG00000005379.15"	NA	NA	NA
"99"	"nucleus"	"ENSG00000005381.7"	NA	NA	NA
"100"	"non-localized"	"ENSG00000005421.8"	NA	NA	NA
"101"	"nucleus"	"ENSG00000005436.13"	NA	NA	NA
"102"	"nucleus"	"ENSG00000005448.16"	NA	NA	NA
